year,age,sex,af_incd_clbr_fctr,af_ftlt_clbr_fctr,nonmodelled_ftlt_clbr_fctr
2034,78,men,1.72303250186186,1,0.887478829845001
2034,78,women,1.51427546052234,1,0.820148307917518
2034,79,men,1.78699592163686,1,0.920862004371909
2034,79,women,1.46984338232945,1,0.791974989580855
2034,80,men,1.68600237434678,1,0.897598381060049
2034,80,women,1.3560981820513,1,0.805845148587393
2034,81,men,1.70422468936506,1,0.882653115773481
2034,81,women,1.35237958668616,1,0.781841636438824
2034,82,men,1.71675671766508,1,0.893464969805194
2034,82,women,1.28487992595212,1,0.800290122190568
2034,83,men,1.69863438841562,1,0.898768404452845
2034,83,women,1.24138069654962,1,0.803085310788921
2034,84,men,1.83987621475745,1,0.910740237134697
2034,84,women,1.32331345296162,1,0.786401528041895
2034,85,men,1.76212615106288,1,0.944247407925846
2034,85,women,1.14579143142466,1,0.785481198624672
2034,86,men,1.89641557844786,1,0.91791770469808
2034,86,women,1.19491444204504,1,0.762809498741582
2034,87,men,1.7504380692709,1,0.916374979149597
2034,87,women,1.2234977967664,1,0.78572930387688
2034,88,men,1.73313798284665,1,0.908460067247422
2034,88,women,1.21034131284122,1,0.774434169454664
2034,89,men,1.47155945974853,1,0.908834705968786
2034,89,women,1.24401566772537,1,0.777869883472056
2034,90,men,1.07268479271974,1,0.951726378541667
2034,90,women,1.02466673116122,1,0.805720770619463
2034,91,men,1.07720878994178,1,0.922915091338652
2034,91,women,1.05559215461585,1,0.784595027101248
2034,92,men,1.01950426541125,1,0.938666211306529
2034,92,women,1.10474951662237,1,0.802340121200981
2034,93,men,1.07390946481143,1,0.938442810403126
2034,93,women,1.07994919942481,1,0.81784841701541
2034,94,men,1.08655163308212,1,0.960831851316664
2034,94,women,1.18928190203844,1,0.816379924128986
2034,95,men,1.05214383899639,1,0.971045071467937
2034,95,women,1.03186103868591,1,0.815614981382266
2034,96,men,0.959346777377591,1,0.977687061790122
2034,96,women,0.858391337303626,1,0.819502574360178
2034,97,men,1.0583803695478,1,1.00001516356898
2034,97,women,0.784368473506112,1,0.852825606914009
2034,98,men,1.00714696359936,1,0.977991623582577
2034,98,women,0.836226060142064,1,0.856076643146894
2034,99,men,1.10811709030204,1,0.977991623582577
2034,99,women,0.781327618767552,1,0.856076643146894
2035,50,men,0.761657493399246,1,1.08360251112271
2035,50,women,0.997385252986021,1,1.22680971497306
2035,51,men,1.3341976226732,1,1.02799987451589
2035,51,women,0.669801803865954,1,1.16311639734912
2035,52,men,1.31476266789388,1,1.15588057331182
2035,52,women,0.632029059554705,1,1.29240155534632
2035,53,men,1.74539226360073,1,1.13755327979082
2035,53,women,0.625459770686996,1,1.05925821587252
2035,54,men,1.22336508262535,1,1.24739704958712
2035,54,women,0.643837641119389,1,1.10619565528499
2035,55,men,1.78051392195131,1,1.11120709693549
2035,55,women,1.09519822963228,1,1.20451289026421
2035,56,men,1.72354647432571,1,1.07297536197253
2035,56,women,1.19777613285275,1,1.1412051715675
2035,57,men,1.5301449270224,1,0.973833839348778
2035,57,women,0.980579673707443,1,1.16764132774093
2035,58,men,1.61213694375132,1,0.995465131925193
2035,58,women,0.980071030605344,1,1.14438096889265
2035,59,men,1.61679479161602,1,0.990922934084428
2035,59,women,1.04328008687824,1,1.06314753185223
2035,60,men,1.49987758030388,1,1.00147657958906
2035,60,women,1.10123851562139,1,1.13428739266655
2035,61,men,1.44470876458708,1,1.02680748110525
2035,61,women,1.16316435648253,1,1.04695470523876
2035,62,men,1.50318126320876,1,1.06281310293501
2035,62,women,1.10843422471093,1,0.936289700963558
2035,63,men,1.57350338310477,1,1.0444621136889
2035,63,women,1.09706444107265,1,1.00065660389683
2035,64,men,1.55540993194988,1,1.00949188587588
2035,64,women,1.08413376835481,1,1.02833217546393
2035,65,men,1.77809786090527,1,1.03817623525927
2035,65,women,1.2529343826425,1,0.894765590236957
2035,66,men,1.64375618144959,1,0.898645399025626
2035,66,women,1.27120378414431,1,0.900597634200097
2035,67,men,1.819550750937,1,0.936264949570347
2035,67,women,1.37605050133917,1,0.891266872336271
2035,68,men,1.79166167634086,1,0.911890630668811
2035,68,women,1.32096537239357,1,0.891129290895825
2035,69,men,1.80100425900444,1,0.902210239170538
2035,69,women,1.29251998698943,1,0.883656205203355
2035,70,men,1.89413204921199,1,0.916864670861169
2035,70,women,1.35186381594482,1,0.901745192491315
2035,71,men,1.88475275195726,1,0.936335466281085
2035,71,women,1.35319423326049,1,0.908862170096397
2035,72,men,1.8180747805581,1,0.893392601338313
2035,72,women,1.35318785622547,1,0.917618347034327
2035,73,men,1.75764787240925,1,0.885602375668395
2035,73,women,1.39751870782858,1,0.838310693670675
2035,74,men,1.83142557465366,1,0.921074615297412
2035,74,women,1.34251575296009,1,0.856883181925128
2035,75,men,1.75542677116194,1,0.873035714702585
2035,75,women,1.34240744014958,1,0.833795542302432
2035,76,men,1.72507728732144,1,0.939549007602015
2035,76,women,1.40843489712955,1,0.806743607543004
2035,77,men,1.89250084371433,1,0.872487726839213
2035,77,women,1.39950924444221,1,0.832752227029836
2035,78,men,1.75809942618897,1,0.89529104657387
2035,78,women,1.53299110732003,1,0.815827799050234
2035,79,men,1.82761590344151,1,0.912675673405107
2035,79,women,1.48638510051636,1,0.798261267837367
2035,80,men,1.72127734148052,1,0.884968863916691
2035,80,women,1.36632757201397,1,0.793406291318599
2035,81,men,1.73516815354288,1,0.89576514535256
2035,81,women,1.35996606819575,1,0.772126395978504
2035,82,men,1.7485742486125,1,0.892106707425173
2035,82,women,1.29203851544059,1,0.789873388779864
2035,83,men,1.72794585173131,1,0.911564378781964
